Name,Party,Constituency,Email
Mrs Kemi Badenoch,Conservative,North West Essex,kemi.badenoch.mp@parliament.uk
Mr Calvin Bailey,Labour,Leyton and Wanstead,calvin.bailey.mp@parliament.uk
Olivia Bailey,Labour,Reading West and Mid Berkshire,olivia.bailey.mp@parliament.uk
David Baines,Labour,St Helens North,david.baines.mp@parliament.uk
Alex Baker,Labour,Aldershot,alex.baker.mp@parliament.uk
Richard Baker,Labour,Glenrothes and Mid Fife,richard.baker.mp@parliament.uk
Dame Harriett Baldwin,Conservative,West Worcestershire,harriett.baldwin.mp@parliament.uk
Alex Ballinger,Labour,Halesowen,alex.ballinger.mp@parliament.uk
Antonia Bance,Labour,Tipton and Wednesbury,antonia.bance.mp@parliament.uk
Steve Barclay,Conservative,North East Cambridgeshire,stephen.barclay.mp@parliament.uk
Paula Barker,Labour,Liverpool Wavertree,paula.barker.mp@parliament.uk
Lee Barron,Labour,Corby and East Northamptonshire,lee.barron.mp@parliament.uk
Mr Alex Barros-Curtis,Labour,Cardiff West,alex.barroscurtis.mp@parliament.uk
Johanna Baxter,Labour,Paisley and Renfrewshire South,johanna.baxter.mp@parliament.uk
Danny Beales,Labour,Uxbridge and South Ruislip,danny.beales.mp@parliament.uk
Lorraine Beavers,Labour,Blackpool North and Fleetwood,lorraine.beavers.mp@parliament.uk
Mr Peter Bedford,Conservative,Mid Leicestershire,peter.bedford.mp@parliament.uk
Órfhlaith Begley,Sinn Féin,West Tyrone,Not Available
Apsana Begum,Independent,Poplar and Limehouse,apsana.begum.mp@parliament.uk
Torsten Bell,Labour,Swansea West,torsten.bell.mp@parliament.uk
Hilary Benn,Labour,Leeds South,bennh@parliament.uk
Alison Bennett,Liberal Democrat,Mid Sussex,alison.bennett.mp@parliament.uk
Siân Berry,Green Party,Brighton Pavilion,sian.berry.mp@parliament.uk
Mr Clive Betts,Labour,Sheffield South East,officeofclivebettsmp@parliament.uk
Saqib Bhatti,Conservative,Meriden and Solihull East,saqib.bhatti@parliament.uk
Ms Polly Billington,Labour,East Thanet,polly.billington.mp@parliament.uk
Matt Bishop,Labour,Forest of Dean,matt.bishop.mp@parliament.uk
Bob Blackman,Conservative,Harrow East,bob.blackman.mp@parliament.uk
Kirsty Blackman,Scottish National Party,Aberdeen North,kirsty.blackman.mp@parliament.uk
Olivia Blake,Labour,Sheffield Hallam,olivia.blake.mp@parliament.uk
Rachel Blake,Labour,Cities of London and Westminster,rachel.blake.mp@parliament.uk
Chris Bloore,Labour,Redditch,chris.bloore.mp@parliament.uk
Mrs Elsie Blundell,Labour,Heywood and Middleton North,elsie.blundell.mp@parliament.uk
Kevin Bonavia,Labour,Stevenage,kevin.bonavia.mp@parliament.uk
Sarah Bool,Conservative,South Northamptonshire,sarah.bool.mp@parliament.uk
Jade Botterill,Labour,Ossett and Denby Dale,jade.botterill.mp@parliament.uk
Andrew Bowie,Conservative,West Aberdeenshire and Kincardine,andrew.bowie.mp@parliament.uk
Mrs Sureena Brackenridge,Labour,Wolverhampton North East,sureena.brackenridge.mp@parliament.uk
Dame Karen Bradley,Conservative,Staffordshire Moorlands,karen.bradley.mp@parliament.uk
Aphra Brandreth,Conservative,Chester South and Eddisbury,aphra.brandreth.mp@parliament.uk
Mr Jonathan Brash,Labour,Hartlepool,jonathan.brash.mp@parliament.uk
Suella Braverman,Conservative,Fareham and Waterlooville,suella.braverman.mp@parliament.uk
Alex Brewer,Liberal Democrat,North East Hampshire,alex.brewer.mp@parliament.uk
Phil Brickell,Labour,Bolton West,phil.brickell.mp@parliament.uk
Jess Brown-Fuller,Liberal Democrat,Chichester,jess.brownfuller.mp@parliament.uk
Chris Bryant,Labour,Rhondda and Ogmore,chris.bryant.mp@parliament.uk
Julia Buckley,Labour,Shrewsbury,julia.buckley.mp@parliament.uk
Alex Burghart,Conservative,Brentwood and Ongar,alex.burghart.mp@parliament.uk
Richard Burgon,Labour,Leeds East,Not Available
Maureen Burke,Labour,Glasgow North East,maureen.burke.mp@parliament.uk
David Burton-Sampson,Labour,Southend West and Leigh,david.burtonsampson.mp@parliament.uk
Dawn Butler,Labour,Brent East,dawn.butler.mp@parliament.uk
Ian Byrne,Labour,Liverpool West Derby,ian.byrne.mp@parliament.uk
Liam Byrne,Labour,Birmingham Hodge Hill and Solihull North,liam.byrne.mp@parliament.uk
Ruth Cadbury,Labour,Brentford and Isleworth,ruthcadburymp@parliament.uk
Nesil Caliskan,Labour,Barking,nesil.caliskan.mp@parliament.uk
Irene Campbell,Labour,North Ayrshire and Arran,irene.campbell.mp@parliament.uk
Juliet Campbell,Labour,Broxtowe,juliet.campbell.mp@parliament.uk
Mr Gregory Campbell,Democratic Unionist Party,East Londonderry,aaron.callan@parliament.uk
Sir Alan Campbell,Labour,Tynemouth,alan.campbell.mp@parliament.uk
Markus Campbell-Savours,Labour,Penrith and Solway,markus.campbellsavours.mp@parliament.uk
Charlotte Cane,Liberal Democrat,Ely and East Cambridgeshire,charlotte.cane.mp@parliament.uk
Dan Carden,Labour,Liverpool Walton,dan.carden.mp@parliament.uk
Sam Carling,Labour,North West Cambridgeshire,sam.carling.mp@parliament.uk
Mr Alistair Carmichael,Liberal Democrat,Orkney and Shetland,carmichaela@parliament.uk
Al Carns,Labour,Birmingham Selly Oak,al.carns.mp@parliament.uk
James Cartlidge,Conservative,South Suffolk,james.cartlidge.mp@parliament.uk
David Chadwick,Liberal Democrat,"Brecon, Radnor and Cwm Tawe",david.chadwick.mp@parliament.uk
Wendy Chamberlain,Liberal Democrat,North East Fife,wendy.chamberlain.mp@parliament.uk
Dr Danny Chambers,Liberal Democrat,Winchester,danny.chambers.mp@parliament.uk
Sarah Champion,Labour,Rotherham,sarah.champion.mp@parliament.uk
Bambos Charalambous,Labour,Southgate and Wood Green,bambos.charalambous.mp@parliament.uk
Mr Luke Charters,Labour,York Outer,luke.charters.mp@parliament.uk
Sir Christopher Chope,Conservative,Christchurch,chopec@parliament.uk
Ellie Chowns,Green Party,North Herefordshire,ellie.chowns.mp@parliament.uk
Feryal Clark,Labour,Enfield North,feryal.clark.mp@parliament.uk
Sir James Cleverly,Conservative,Braintree,james.cleverly.mp@parliament.uk
Sir Geoffrey Clifton-Brown,Conservative,North Cotswolds,cliftonbrowng@parliament.uk
Lewis Cocking,Conservative,Broxbourne,lewis.cocking.mp@parliament.uk
Chris Coghlan,Liberal Democrat,Dorking and Horley,chris.coghlan.mp@parliament.uk
Ben Coleman,Labour,Chelsea and Fulham,ben.coleman.mp@parliament.uk
Jacob Collier,Labour,Burton and Uttoxeter,jacob.collier.mp@parliament.uk
Lizzi Collinge,Labour,Morecambe and Lunesdale,lizzi.collinge.mp@parliament.uk
Tom Collins,Labour,Worcester,tom.collins.mp@parliament.uk
Victoria Collins,Liberal Democrat,Harpenden and Berkhamsted,victoria.collins.mp@parliament.uk
Liam Conlon,Labour,Beckenham and Penge,liam.conlon.mp@parliament.uk
Sarah Coombes,Labour,West Bromwich,sarah.coombes.mp@parliament.uk
Andrew Cooper,Labour,Mid Cheshire,andrew.cooper.mp@parliament.uk
Daisy Cooper,Liberal Democrat,St Albans,daisy.cooper.mp@parliament.uk
Dr Beccy Cooper,Labour,Worthing West,beccy.cooper.mp@parliament.uk
John Cooper,Conservative,Dumfries and Galloway,john.cooper.mp@parliament.uk
Yvette Cooper,Labour,"Pontefract, Castleford and Knottingley",coopery@parliament.uk
Jeremy Corbyn,Independent,Islington North,jeremy.corbyn.mp@parliament.uk
Alberto Costa,Conservative,South Leicestershire,alberto.costa.mp@parliament.uk
Deirdre Costigan,Labour,Ealing Southall,deirdre.costigan.mp@parliament.uk
Claire Coutinho,Conservative,East Surrey,claire.coutinho.mp@parliament.uk
Pam Cox,Labour,Colchester,pam.cox.mp@parliament.uk
Sir Geoffrey Cox,Conservative,Torridge and Tavistock,coxg@parliament.uk
Neil Coyle,Labour,Bermondsey and Old Southwark,neil.coyle.mp@parliament.uk
Jen Craft,Labour,Thurrock,jen.craft.mp@parliament.uk
Mary Creagh,Labour,Coventry East,mary.creagh.mp@parliament.uk
Ms Stella Creasy,Labour,Walthamstow,stella.creasy.mp@parliament.uk
Torcuil Crichton,Labour,Na h-Eileanan an Iar,torcuil.crichton.mp@parliament.uk
Harriet Cross,Conservative,Gordon and Buchan,harriet.cross.mp@parliament.uk
Pat Cullen,Sinn Féin,Fermanagh and South Tyrone,pat.cullen.mp@parliament.uk
Judith Cummins,Labour,Bradford South,judith.cummins.mp@parliament.uk
Chris Curtis,Labour,Milton Keynes North,chris.curtis.mp@parliament.uk
Janet Daby,Labour,Lewisham East,janet.daby.mp@parliament.uk
Sir Nicholas Dakin,Labour,Scunthorpe,nic.dakin.mp@parliament.uk
Ashley Dalton,Labour,West Lancashire,ashley.dalton.mp@parliament.uk
Adam Dance,Liberal Democrat,Yeovil,adam.dance.mp@parliament.uk
Steve Darling,Liberal Democrat,Torbay,steve.darling.mp@parliament.uk
Emily Darlington,Labour,Milton Keynes Central,emily.darlington.mp@parliament.uk
Ed Davey,Liberal Democrat,Kingston and Surbiton,edward.davey.mp@parliament.uk
Ann Davies,Plaid Cymru,Caerfyrddin,ann.davies.mp@parliament.uk
Gareth Davies,Conservative,Grantham and Bourne,gareth.davies.mp@parliament.uk
Jonathan Davies,Labour,Mid Derbyshire,jonathan.davies.mp@parliament.uk
Mims Davies,Conservative,East Grinstead and Uckfield,mims.davies.mp@parliament.uk
Paul Davies,Labour,Colne Valley,paul.davies.mp@parliament.uk
Shaun Davies,Labour,Telford,shaun.davies.mp@parliament.uk
Alex Davies-Jones,Labour,Pontypridd,alex.daviesjones.mp@parliament.uk
David Davis,Conservative,Goole and Pocklington,david.davis.mp@parliament.uk
Marsha De Cordova,Labour,Battersea,marsha.decordova.mp@parliament.uk
Bobby Dean,Liberal Democrat,Carshalton and Wallington,bobby.dean.mp@parliament.uk
Josh Dean,Labour,Hertford and Stortford,josh.dean.mp@parliament.uk
Kate Dearden,Labour,Halifax,kate.dearden.mp@parliament.uk
Carla Denyer,Green Party,Bristol Central,carla.denyer.mp@parliament.uk
Charlie Dewhirst,Conservative,Bridlington and The Wolds,charlie.dewhirst.mp@parliament.uk
Mr Tanmanjeet Singh Dhesi,Labour,Slough,tan.dhesi.mp@parliament.uk
Jim Dickson,Labour,Dartford,jim.dickson.mp@parliament.uk
Mr Lee Dillon,Liberal Democrat,Newbury,lee.dillon.mp@parliament.uk
Dame Caroline Dinenage,Conservative,Gosport,caroline.dinenage.mp@parliament.uk
Anna Dixon,Labour,Shipley,anna.dixon.mp@parliament.uk
Samantha Dixon,Labour,Chester North and Neston,Samantha.dixon.mp@parliament.uk
Anneliese Dodds,Labour,Oxford East,anneliese.dodds.mp@parliament.uk
Helena Dollimore,Labour,Hastings and Rye,helena.dollimore.mp@parliament.uk
Dave Doogan,Scottish National Party,Angus and Perthshire Glens,dave.doogan.mp@parliament.uk
Stephen Doughty,Labour,Cardiff South and Penarth,stephen.doughty.mp@parliament.uk
Peter Dowd,Labour,Bootle,peter.dowd.mp@parliament.uk
Sir Oliver Dowden,Conservative,Hertsmere,oliver.dowden.mp@parliament.uk
Graeme Downie,Labour,Dunfermline and Dollar,graeme.downie.mp@parliament.uk
Rosie Duffield,Independent,Canterbury,rosie.duffield.mp@parliament.uk
Sir Iain Duncan Smith,Conservative,Chingford and Woodford Green,Iain.duncansmith.mp@parliament.uk
Neil Duncan-Jordan,Independent,Poole,neil.duncanjordan.mp@parliament.uk
Sarah Dyke,Liberal Democrat,Glastonbury and Somerton,sarah.dyke.mp@parliament.uk 
Dame Angela Eagle,Labour,Wallasey,eaglea@parliament.uk
Maria Eagle,Labour,Liverpool Garston,maria.eagle.mp@parliament.uk
Alex Easton,Independent,North Down,alex.easton.mp@parliament.uk
Colum Eastwood,Social Democratic & Labour Party,Foyle,colum.eastwood.mp@parliament.uk
Sorcha Eastwood,Alliance,Lagan Valley,sorcha.eastwood.mp@parliament.uk
Cat Eccles,Labour,Stourbridge,cat.eccles.mp@parliament.uk
Lauren Edwards,Labour,Rochester and Strood,lauren.edwards.mp@parliament.uk
Sarah Edwards,Labour,Tamworth,sarah.edwards.mp@parliament.uk
Clive Efford,Labour,Eltham and Chislehurst,clive.efford.mp@parliament.uk
Damien Egan,Labour,Bristol North East,damien.egan.mp@parliament.uk
Maya Ellis,Labour,Ribble Valley,maya.ellis.mp@parliament.uk
Chris Elmore,Labour,Bridgend,Chris.Elmore.mp@parliament.uk
Kirith Entwistle,Labour,Bolton North East,kirith.entwistle.mp@parliament.uk
Florence Eshalomi,Labour,Vauxhall and Camberwell Green,florence.eshalomi.mp@parliament.uk
Bill Esterson,Labour,Sefton Central,bill.esterson.mp@parliament.uk
Chris Evans,Labour,Caerphilly,chris.evans.mp@parliament.uk
Dr Luke Evans,Conservative,Hinckley and Bosworth,luke.evans.mp@parliament.uk
Miatta Fahnbulleh,Labour,Peckham,miatta.fahnbulleh.mp@parliament.uk
Mr Hamish Falconer,Labour,Lincoln,hamish.falconer.mp@parliament.uk
Nigel Farage,Reform UK,Clacton,nigel.farage.mp@parliament.uk
Linsey Farnsworth,Labour,Amber Valley,linsey.farnsworth.mp@parliament.uk
Tim Farron,Liberal Democrat,Westmorland and Lonsdale,tim.farron.mp@parliament.uk
Josh Fenton-Glynn,Labour,Calder Valley,josh.fentonglynn.mp@parliament.uk
Mark Ferguson,Labour,Gateshead Central and Whickham,mark.ferguson.mp@parliament.uk
Patricia Ferguson,Labour,Glasgow West,patricia.ferguson.mp@parliament.uk
John Finucane,Sinn Féin,Belfast North,john.finucane.mp@parliament.uk
Natalie Fleet,Labour,Bolsover,natalie.fleet.mp@parliament.uk
Stephen Flynn,Scottish National Party,Aberdeen South,stephen.flynn.mp@parliament.uk
Emma Foody,Labour,Cramlington and Killingworth,emma.foody.mp@parliament.uk
Catherine Fookes,Labour,Monmouthshire,catherine.fookes.mp@parliament.uk
Richard Foord,Liberal Democrat,Honiton and Sidmouth,richard.foord.mp@parliament.uk
Mr Will Forster,Liberal Democrat,Woking,will.forster.mp@parliament.uk
Peter Fortune,Conservative,Bromley and Biggin Hill,peter.fortune.mp@parliament.uk
Mr Paul Foster,Labour,South Ribble,paul.foster.mp@parliament.uk
Sir Ashley Fox,Conservative,Bridgwater,ashley.fox.mp@parliament.uk
Vicky Foxcroft,Labour,Lewisham North,vicky.foxcroft.mp@parliament.uk
Mary Kelly Foy,Labour,City of Durham,mary.foy.mp@parliament.uk
Daniel Francis,Labour,Bexleyheath and Crayford,daniel.francis.mp@parliament.uk
Mr Mark Francois,Conservative,Rayleigh and Wickford,mark.francois.mp@parliament.uk
Zöe Franklin,Liberal Democrat,Guildford,zoe.franklin.mp@parliament.uk
George Freeman,Conservative,Mid Norfolk,george.freeman.mp@parliament.uk
Mr Louie French,Conservative,Old Bexley and Sidcup,louie.french.mp@parliament.uk
Mr James Frith,Labour,Bury North,james.frith.mp@parliament.uk
Richard Fuller,Conservative,North Bedfordshire,richard.fuller.mp@parliament.uk
Gill Furniss,Labour,Sheffield Brightside and Hillsborough,gill.furniss.mp@parliament.uk
Sir Roger Gale,Conservative,Herne Bay and Sandwich,galerj@parliament.uk
Barry Gardiner,Labour,Brent West,barry.gardiner.mp@parliament.uk
Dr Allison Gardner,Labour,Stoke-on-Trent South,allison.gardner.mp@parliament.uk
Mark Garnier,Conservative,Wyre Forest,mark.garnier.mp@parliament.uk
Anna Gelderd,Labour,South East Cornwall,anna.gelderd.mp@parliament.uk
Alan Gemmell,Labour,Central Ayrshire,alan.gemmell.mp@parliament.uk
Andrew George,Liberal Democrat,St Ives,andrew.george.mp@parliament.uk
Gill German,Labour,Clwyd North,gill.german.mp@parliament.uk
Stephen Gethins,Scottish National Party,Arbroath and Broughty Ferry,stephen.gethins.mp@parliament.uk
Ms Nusrat Ghani,Conservative,Sussex Weald,nusrat.ghani.mp@parliament.uk
Sarah Gibson,Liberal Democrat,Chippenham,sarah.gibson.mp@parliament.uk
Tracy Gilbert,Labour,Edinburgh North and Leith,tracy.gilbert.mp@parliament.uk
Preet Kaur Gill,Labour,Birmingham Edgbaston,preet.gill.mp@parliament.uk
Rachel Gilmour,Liberal Democrat,Tiverton and Minehead,rachel.gilmour.mp@parliament.uk
Becky Gittins,Labour,Clwyd East,becky.gittins.mp@parliament.uk
John Glen,Conservative,Salisbury,john.glen.mp@parliament.uk
Mary Glindon,Labour,Newcastle upon Tyne East and Wallsend,mary.glindon.mp@parliament.uk
Olly Glover,Liberal Democrat,Didcot and Wantage,olly.glover.mp@parliament.uk
Marie Goldman,Liberal Democrat,Chelmsford,marie.goldman.mp@parliament.uk
Ben Goldsborough,Labour,South Norfolk,ben.goldsborough.mp@parliament.uk
Tom Gordon,Liberal Democrat,Harrogate and Knaresborough,tom.gordon.mp@parliament.uk
Jodie Gosling,Labour,Nuneaton,jodie.gosling.mp@parliament.uk
Georgia Gould,Labour,Queen's Park and Maida Vale,georgia.gould.mp@parliament.uk
John Grady,Labour,Glasgow East,john.grady.mp@parliament.uk
Helen Grant,Conservative,Maidstone and Malling,helen.grant.mp@parliament.uk
Sarah Green,Liberal Democrat,Chesham and Amersham,sarah.green.mp@parliament.uk
Lilian Greenwood,Labour,Nottingham South,lilian.greenwood.mp@parliament.uk
Andrew Griffith,Conservative,Arundel and South Downs,andrew.griffith.mp@parliament.uk
Dame Nia Griffith,Labour,Llanelli,nia.griffith.mp@parliament.uk
Alison Griffiths,Conservative,Bognor Regis and Littlehampton,alison.griffiths.mp@parliament.uk
Andrew Gwynne,Independent,Gorton and Denton,gwynnea@parliament.uk
Amanda Hack,Labour,North West Leicestershire,amanda.hack.mp@parliament.uk
Louise Haigh,Labour,Sheffield Heeley,louise.haigh.mp@parliament.uk
Sarah Hall,Labour,Warrington South,sarah.hall.mp@parliament.uk
Fabian Hamilton,Labour,Leeds North East,fabian.hamilton.mp@parliament.uk
Paulette Hamilton,Labour,Birmingham Erdington,paulette.hamilton.mp@parliament.uk
Claire Hanna,Social Democratic & Labour Party,Belfast South and Mid Down,claire.hanna.mp@parliament.uk
Monica Harding,Liberal Democrat,Esher and Walton,monica.harding.mp@parliament.uk
Emma Hardy,Labour,Kingston upon Hull West and Haltemprice,emma.hardy.mp@parliament.uk
Carolyn Harris,Labour,Neath and Swansea East,carolyn.harris.mp@parliament.uk
Rebecca Harris,Conservative,Castle Point,rebecca.harris.mp@parliament.uk
Lloyd Hatton,Labour,South Dorset,lloyd.hatton.mp@parliament.uk
Helen Hayes,Labour,Dulwich and West Norwood,helen.hayes.mp@parliament.uk
Sir John Hayes,Conservative,South Holland and The Deepings,hayesj@parliament.uk
Tom Hayes,Labour,Bournemouth East,tom.hayes.mp@parliament.uk
Claire Hazelgrove,Labour,Filton and Bradley Stoke,claire.hazelgrove.mp@parliament.uk
Chris Hazzard,Sinn Féin,South Down,chris.hazzard.mp@parliament.uk
John Healey,Labour,Rawmarsh and Conisbrough,john.healey.mp@parliament.uk
Sir Mark Hendrick,Labour,Preston,mark.hendrick.mp@parliament.uk
Pippa Heylings,Liberal Democrat,South Cambridgeshire,pippa.heylings.mp@parliament.uk
Dame Meg Hillier,Labour,Hackney South and Shoreditch,meghilliermp@parliament.uk
Chris Hinchliff,Independent,North East Hertfordshire,chris.hinchliff.mp@parliament.uk
Jonathan Hinder,Labour,Pendle and Clitheroe,jonathan.hinder.mp@parliament.uk
Damian Hinds,Conservative,East Hampshire,damian.hinds.mp@parliament.uk
Simon Hoare,Conservative,North Dorset,simon.hoare.mp@parliament.uk
Wera Hobhouse,Liberal Democrat,Bath,wera.hobhouse.mp@parliament.uk
Mrs Sharon Hodgson,Labour,Washington and Gateshead South,sharon.hodgson.mp@parliament.uk
Mr Richard Holden,Conservative,Basildon and Billericay,richard.holden.mp@parliament.uk
Kevin Hollinrake,Conservative,Thirsk and Malton,kevin.hollinrake.mp@parliament.uk
Paul Holmes,Conservative,Hamble Valley,paul.holmes.mp@parliament.uk
Rachel Hopkins,Labour,Luton South and South Bedfordshire,rachel.hopkins.mp@parliament.uk
Sir Lindsay Hoyle,Speaker,Chorley,Lindsay.hoyle.mp@parliament.uk
Nigel Huddleston,Conservative,Droitwich and Evesham,nigel.huddleston.mp@parliament.uk
Dr Neil Hudson,Conservative,Epping Forest,neil.hudson.mp@parliament.uk
Claire Hughes,Labour,Bangor Aberconwy,claire.hughes.mp@parliament.uk
Dáire Hughes,Sinn Féin,Newry and Armagh,daire.hughes.mp@parliament.uk
Alison Hume,Labour,Scarborough and Whitby,alison.hume.mp@parliament.uk
Sir Jeremy Hunt,Conservative,Godalming and Ash,huntj@parliament.uk
Dr Rupa Huq,Labour,Ealing Central and Acton,rupa.huq.mp@parliament.uk
Patrick Hurley,Labour,Southport,patrick.hurley.mp@parliament.uk
Imran Hussain,Labour,Bradford East,imran.hussain.mp@parliament.uk
Mr Adnan Hussain,Independent,Blackburn,adnan.hussain.mp@parliament.uk
Leigh Ingham,Labour,Stafford,leigh.ingham.mp@parliament.uk
Natasha Irons,Labour,Croydon East,natasha.irons.mp@parliament.uk
Sally Jameson,Labour,Doncaster Central,sally.jameson.mp@parliament.uk
Christine Jardine,Liberal Democrat,Edinburgh West,christine.jardine.mp@parliament.uk
Dan Jarvis,Labour,Barnsley North,dan.jarvis.mp@parliament.uk
Liz Jarvis,Liberal Democrat,Eastleigh,liz.jarvis.mp@parliament.uk
Sir Bernard Jenkin,Conservative,Harwich and North Essex,bernard.jenkin.mp@parliament.uk
Robert Jenrick,Conservative,Newark,robert.jenrick.mp@parliament.uk
Terry Jermy,Labour,South West Norfolk,terry.jermy.mp@parliament.uk
Adam Jogee,Labour,Newcastle-under-Lyme,adam.jogee.mp@parliament.uk
Dame Diana Johnson,Labour,Kingston upon Hull North and Cottingham,johnsond@parliament.uk
Dr Caroline Johnson,Conservative,Sleaford and North Hykeham,caroline.johnson.mp@parliament.uk
Kim Johnson,Labour,Liverpool Riverside,kim.johnson.mp@parliament.uk
Clive Jones,Liberal Democrat,Wokingham,clive.jones.mp@parliament.uk
Darren Jones,Labour,Bristol North West,darren.jones.mp@parliament.uk
Gerald Jones,Labour,Merthyr Tydfil and Aberdare,gerald.jones.mp@parliament.uk
Lillian Jones,Labour,Kilmarnock and Loudoun,lillian.jones.mp@parliament.uk
Louise Jones,Labour,North East Derbyshire,louise.jones.mp@parliament.uk
Ruth Jones,Labour,Newport West and Islwyn,ruth.jones.mp@parliament.uk
Sarah Jones,Labour,Croydon West,sarah.jones.mp@parliament.uk
Lincoln Jopp,Conservative,Spelthorne,lincoln.jopp.mp@parliament.uk
Gurinder Singh Josan,Labour,Smethwick,gurinder.josan.mp@parliament.uk
Sojan Joseph,Labour,Ashford,sojan.joseph.mp@parliament.uk
Warinder Juss,Labour,Wolverhampton West,warinder.juss.mp@parliament.uk
Chris Kane,Labour,Stirling and Strathallan,chris.kane.mp@parliament.uk
Mike Kane,Labour,Wythenshawe and Sale East,mike.kane.mp@parliament.uk
Satvir Kaur,Labour,Southampton Test,satvir.kaur.mp@parliament.uk
Alicia Kearns,Conservative,Rutland and Stamford,alicia.kearns.mp@parliament.uk
Liz Kendall,Labour,Leicester West,liz.kendall.mp@parliament.uk
Afzal Khan,Labour,Manchester Rusholme,afzal.khan.mp@parliament.uk
Ayoub Khan,Independent,Birmingham Perry Barr,ayoub.khan.mp@parliament.uk
Naushabah Khan,Labour,Gillingham and Rainham,naushabah.khan.mp@parliament.uk
Stephen Kinnock,Labour,Aberafan Maesteg,stephen.kinnock.mp@parliament.uk
Jayne Kirkham,Labour,Truro and Falmouth,jayne.kirkham.mp@parliament.uk
Gen Kitchen,Labour,Wellingborough and Rushden,gen.kitchen.mp@parliament.uk
Mr Paul Kohler,Liberal Democrat,Wimbledon,paul.kohler.mp@parliament.uk
Danny Kruger,Conservative,East Wiltshire,danny.kruger.mp@parliament.uk
Sonia Kumar,Labour,Dudley,sonia.kumar.mp@parliament.uk
Uma Kumaran,Labour,Stratford and Bow,uma.kumaran.mp@parliament.uk
Peter Kyle,Labour,Hove and Portslade,peter.kyle.mp@parliament.uk
Laura Kyrke-Smith,Labour,Aylesbury,laura.kyrkesmith.mp@parliament.uk
Ben Lake,Plaid Cymru,Ceredigion Preseli,ben.lake.mp@parliament.uk
Katie Lam,Conservative,Weald of Kent,katie.lam.mp@parliament.uk
Peter Lamb,Labour,Crawley,peter.lamb.mp@parliament.uk
Mr David Lammy,Labour,Tottenham,david.lammy.mp@parliament.uk 
John Lamont,Conservative,"Berwickshire, Roxburgh and Selkirk",john.lamont.mp@parliament.uk
Ian Lavery,Labour,Blyth and Ashington,ian.lavery.mp@parliament.uk
Chris Law,Scottish National Party,Dundee Central,chris.law.mp@parliament.uk
Noah Law,Labour,St Austell and Newquay,noah.law.mp@parliament.uk
Kim Leadbeater,Labour,Spen Valley,kim.leadbeater.mp@parliament.uk
Graham Leadbitter,Scottish National Party,"Moray West, Nairn and Strathspey",graham.leadbitter.mp@parliament.uk
Sir Edward Leigh,Conservative,Gainsborough,edward.leigh.mp@parliament.uk
Brian Leishman,Independent,Alloa and Grangemouth,brian.leishman.mp@parliament.uk
